0;Joao Macaringue;12345678;664376397;2004
69950;Guyzelh Ramos;66056643;975200415;1994
4070;Bill Gates;85250145;930215702;3002
200;Elon Musk;67694160;835673657;4251
21300;Mark Zuck;53179262;492589719;3567
627800;Aashir Omar;67459250;341789645;8492
90500;Jeff Bezos;46300255;702280756;9924
14550;Sergio Ramos;93094603;830825322;8314
44000;David Villa;88389546;897600746;1940
67100;Cristiano Ronaldo;17988064;622092132;8391
34500;Vritik Valabdas;44969235;982990160;9931
2000;Vritik Novo;84697678;830437032;3333
2000;Saiete;74059075;296240637;4444
